Date,CustomerID,Product,Category,Quantity,Price,Total,Region,PaymentMethod
2024-01-05,C001,Laptop,Electronics,1,999.99,999.99,North,Credit Card
2024-01-05,C002,Mouse,Electronics,2,29.99,59.98,South,PayPal
2024-01-06,C003,Keyboard,Electronics,1,79.99,79.99,East,Credit Card
2024-01-07,C004,Monitor,Electronics,1,349.99,349.99,West,Debit Card
2024-01-08,C005,Desk Chair,Furniture,1,299.99,299.99,North,Credit Card
2024-01-09,C001,USB Cable,Electronics,3,12.99,38.97,North,Credit Card
2024-01-10,C006,Desk Lamp,Furniture,2,45.00,90.00,South,PayPal
2024-01-11,C007,Notebook,Office Supplies,5,4.99,24.95,East,Cash
2024-01-12,C008,Pen Set,Office Supplies,3,9.99,29.97,West,Credit Card
2024-01-13,C009,Webcam,Electronics,1,89.99,89.99,North,Debit Card
2024-01-14,C010,Headphones,Electronics,1,149.99,149.99,South,Credit Card
2024-01-15,C002,Desk,Furniture,1,499.99,499.99,South,PayPal
2024-01-16,C011,Bookshelf,Furniture,1,199.99,199.99,East,Credit Card
2024-01-17,C012,Coffee Maker,Appliances,1,79.99,79.99,West,Debit Card
2024-01-18,C013,Water Bottle,Office Supplies,4,14.99,59.96,North,Cash
2024-01-19,C014,Router,Electronics,1,129.99,129.99,South,Credit Card
2024-01-20,C015,External HDD,Electronics,1,119.99,119.99,East,PayPal
2024-01-21,C016,Printer,Electronics,1,249.99,249.99,West,Credit Card
2024-01-22,C017,File Cabinet,Furniture,1,159.99,159.99,North,Debit Card
2024-01-23,C018,Whiteboard,Office Supplies,1,89.99,89.99,South,Credit Card
2024-01-24,C019,Ergonomic Mouse,Electronics,2,49.99,99.98,East,PayPal
2024-01-25,C020,Standing Desk,Furniture,1,599.99,599.99,West,Credit Card
2024-01-26,C021,Table Lamp,Furniture,3,35.00,105.00,North,Cash
2024-01-27,C022,Stapler,Office Supplies,2,12.99,25.98,South,Debit Card
2024-01-28,C023,Laptop Stand,Electronics,1,39.99,39.99,East,Credit Card
2024-01-29,C024,Calendar,Office Supplies,5,8.99,44.95,West,PayPal
2024-01-30,C025,Tablet,Electronics,1,399.99,399.99,North,Credit Card
2024-02-01,C026,Smartphone,Electronics,1,799.99,799.99,South,Credit Card
2024-02-02,C027,Charging Cable,Electronics,4,15.99,63.96,East,PayPal
2024-02-03,C028,Desk Organizer,Office Supplies,2,24.99,49.98,West,Cash
