Date,City,Temperature,Humidity,Precipitation
2024-01-01,New York,32,65,0.1
2024-01-01,Los Angeles,58,45,0.0
2024-01-01,Chicago,28,70,0.3
2024-01-01,Houston,55,75,0.2
2024-02-01,New York,35,60,0.2
2024-02-01,Los Angeles,62,40,0.0
2024-02-01,Chicago,30,68,0.4
2024-02-01,Houston,58,72,0.1
2024-03-01,New York,45,55,0.3
2024-03-01,Los Angeles,68,38,0.0
2024-03-01,Chicago,42,62,0.2
2024-03-01,Houston,65,70,0.5
2024-04-01,New York,58,50,0.4
2024-04-01,Los Angeles,72,35,0.0
2024-04-01,Chicago,55,58,0.1
2024-04-01,Houston,75,68,0.3
2024-05-01,New York,68,48,0.2
2024-05-01,Los Angeles,78,32,0.0
2024-05-01,Chicago,65,55,0.1
2024-05-01,Houston,82,65,0.4
